OriginalReflexAgent,1,capsuleClassic,-295.14,0.00E-06
ReflexAgent,1,capsuleClassic,-228.29,95.24E-06
MinimaxAgent,2,capsuleClassic,721.29,5463.74E-06
MinimaxAgent,3,capsuleClassic,933.29,18338.32E-06
MinimaxAgent,4,capsuleClassic,393.57,111282.66E-06
AlphaBetaAgent,2,capsuleClassic,733.00,4052.89E-06
AlphaBetaAgent,3,capsuleClassic,597.29,11601.03E-06
AlphaBetaAgent,4,capsuleClassic,447.29,30494.86E-06
RandomExpectimaxAgent,2,capsuleClassic,612.00,5927.76E-06
RandomExpectimaxAgent,3,capsuleClassic,384.57,16582.56E-06
RandomExpectimaxAgent,4,capsuleClassic,871.14,69610.01E-06

OriginalReflexAgent,1,contestClassic,-97.71,42.94E-06
ReflexAgent,1,contestClassic,1106.57,123.65E-06
MinimaxAgent,2,contestClassic,1760.71,12134.40E-06
MinimaxAgent,3,contestClassic,2240.43,66397.74E-06
MinimaxAgent,4,contestClassic,1633.57,315422.10E-06
AlphaBetaAgent,2,contestClassic,1685.71,6137.94E-06
AlphaBetaAgent,3,contestClassic,1776.29,18623.88E-06
AlphaBetaAgent,4,contestClassic,1944.00,54969.58E-06
RandomExpectimaxAgent,2,contestClassic,1825.71,14739.56E-06
RandomExpectimaxAgent,3,contestClassic,2050.14,56575.90E-06
RandomExpectimaxAgent,4,contestClassic,2059.71,300640.92E-06

OriginalReflexAgent,1,mediumClassic,186.43,128.32E-06
ReflexAgent,1,mediumClassic,699.71,289.78E-06
MinimaxAgent,2,mediumClassic,1593.29,14662.91E-06
MinimaxAgent,3,mediumClassic,1893.00,77541.01E-06
MinimaxAgent,4,mediumClassic,1500.14,506343.19E-06
AlphaBetaAgent,2,mediumClassic,1311.43,6587.75E-06
AlphaBetaAgent,3,mediumClassic,1618.29,20449.50E-06
AlphaBetaAgent,4,mediumClassic,1636.00,58452.94E-06
RandomExpectimaxAgent,2,mediumClassic,1911.14,16750.42E-06
RandomExpectimaxAgent,3,mediumClassic,2088.57,71406.26E-06
RandomExpectimaxAgent,4,mediumClassic,1811.57,408309.10E-06

